# EMERSON X-STREAM XE	Data Logs
# Device Tag: 	XEA04203188876
# Location: 	MY Plant
# Company: 	MY Company
# Serial: 	XEA04203188876
# Firmware:	1.5.1
# --------	--------	--------
# Date	Time	Ch1:Conce:mg/Nm	Status	Ch1:Temp:°C	Status
1/24/2024	14:28:41	-1.2	G	66.4	G
1/24/2024	14:28:46	-1.4	G	66.4	G
1/24/2024	14:28:51	-1.5	G	66.4	G
1/24/2024	14:28:56	-1.5	G	66.4	G
1/24/2024	14:29:01	-1.3	G	66.4	G
1/24/2024	14:29:06	-1.1	G	66.4	G
1/24/2024	14:29:11	-0.9	G	66.4	G
1/24/2024	14:29:16	-0.9	G	66.4	G
1/24/2024	14:29:21	-0.9	G	66.4	G
1/24/2024	14:29:26	-1.0	G	66.4	G
1/24/2024	14:29:31	-1.0	G	66.4	G
1/24/2024	14:29:36	-1.0	G	66.4	G
1/24/2024	14:29:41	-1.0	G	66.4	G
1/24/2024	14:29:46	-0.9	G	66.4	G
1/24/2024	14:29:51	-0.9	G	66.4	G
1/24/2024	14:29:56	-0.9	G	66.4	G
1/24/2024	14:30:01	-1.0	G	66.4	G
1/24/2024	14:30:06	-1.1	G	66.4	G
1/24/2024	14:30:11	-1.2	G	66.4	G
1/24/2024	14:30:16	-1.3	G	66.4	G
1/24/2024	14:30:21	-1.4	G	66.4	G
1/24/2024	14:30:26	-1.6	G	66.4	G
1/24/2024	14:30:31	-1.5	G	66.4	G
1/24/2024	14:30:36	-1.5	G	66.4	G
1/24/2024	14:30:41	-1.4	G	66.4	G
1/24/2024	14:30:46	-1.3	G	66.4	G
1/24/2024	14:30:51	-1.3	G	66.4	G
1/24/2024	14:30:56	-1.4	G	66.4	G
1/24/2024	14:31:01	-1.5	G	66.4	G
1/24/2024	14:31:06	-1.6	G	66.4	G
1/24/2024	14:31:11	-1.5	G	66.4	G
1/24/2024	14:31:16	-1.3	G	66.4	G
1/24/2024	14:31:21	-1.1	G	66.4	G
1/24/2024	14:31:26	-1.0	G	66.4	G
1/24/2024	14:31:31	-1.0	G	66.4	G
1/24/2024	14:31:36	-1.0	G	66.4	G
1/24/2024	14:31:41	-1.1	G	66.4	G
1/24/2024	14:31:46	-1.1	G	66.4	G
1/24/2024	14:31:51	-1.2	G	66.4	G
1/24/2024	14:31:56	-1.2	C	66.4	G
1/24/2024	14:32:01	-1.2	C	66.4	G
1/24/2024	14:32:06	-1.3	C	66.4	G
1/24/2024	14:32:11	-1.3	C	66.4	G
1/24/2024	14:32:16	-1.4	C	66.4	G
1/24/2024	14:32:21	-1.4	C	66.4	G
